uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,reference-term-source,reference-term-code,reference-term-relationship
,"Leprosy, Parents Name",,Misc,Text,Parents name,,,,,,,,,,,,,
,"Leprosy, Finding Type",,Misc,Coded,Finding type,,,Voluntarily,Referred,Contact Examination,Others,,,,,,,
,"Leprosy, Case Type","Enter this, only for treatment intake cases",Misc,Coded,Case type,,,New Patients,Relapse,Re-starter,Transfer In,Classification Change,,,,,,
,"Leprosy, Leprosy Type","Enter this, for both intake and follow-up cases",Misc,Coded,Leprosy Type,,,Multi Bacillary,Pauci Bacillary,,,,,,,,,
,"Leprosy, Drug Regimen",,Misc,Text,Drug Regimen,,,,,,,,,,,,,
,"Leprosy, Supervised drug administration for this month",,Misc,Boolean,Supervised drug administration for this month,,,,,,,,,,,,,
,"Leprosy, Disability Grade",,Misc,Coded,Disability grade,,,Grade 0,Grade 1,Grade 2,Not examined,,,,,,,
,"Leprosy, EHP Score",,Misc,Numeric,EHP score,,,,,,,,,,,,,
,"Leprosy, Patient Deduction Type","Enter this, only if the patient is ending the leprosy treatment",Misc,Coded,Patient deduction type,,,Release from Treatment – RFT,Transfer Out - TO,Defaulter – DF,Other Deduction - OD,,,,,,,
,"Leprosy, Remarks",,Misc,Text,Remarks,,,,,,,,,,,,,
