uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,referenceTermSource,referenceTermCode,referenceTermRelationship
,"Malaria, Parents Name",,Misc,Text,Parents name,,,,,,,,,,,,,
,"Malaria, Contact number",,Misc,Numeric,Contact number,,,,,,,,,,,,,
,"Malaria, Receptivity",,Misc,Coded,Receptivity,,,High Risk,Medium Risk,Low Risk,Normal,,,,,,,
,"Malaria, Source",,Misc,Coded,Source,,,ACD - Active Case Detection,PCD - Passive Case Detection,,,,,,,,,
,"Malaria, Pregnant",,Misc,Boolean,Pregnant,,,,,,,,,,,,,
,"Malaria, Malaria Type",,Misc,Coded,Malaria type,,,Plasmodium Vivax,Plasmodium Falciparum,Plasmodium Mixed,,,,,,,,
,"Malaria, Classification",,Misc,Coded,Classification,,,Indigenous,Imported,,,,,,,,,
,"Malaria, Finding",,Misc,Coded,Finding,,,Suspected / Probable,Confirmed Uncomplicated,Probable Severe,Confirmed Severe,,,,,,,
,"Malaria, Treatment Start Date",,Misc,Date,Treatment start date,,,,,,,,,,,,,
,"Malaria, Drug regimen",,Misc,Text,Drug regimen,,,,,,,,,,,,,
,"Malaria, Malaria PF Patients Follow Up Test Ordered",,Misc,Boolean,Malaria PF Patients Follow Up Test Ordered,,,,,,,,,,,,,
,"Malaria, Death Date",,Misc,Date,Death Date,,,,,,,,,,,,,
,"Malaria, Remarks",,Misc,Text,Remarks,,,,,,,,,,,,,
