uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8
,"Malaria Kalaazar, Parents Name",,Misc,Text,Parents name,,,,,,,,,,,,,
,"Malaria Kalaazar, Receptivity",,Misc,Coded,Receptivity,,,,,,High Risk,Medium Risk,Low Risk,Normal,,,,
,"Malaria Kalaazar, Source",,Misc,Coded,Source,,,,,,ACD - Active Case Detection,PCD - Passive Case Detection,,,,,,
,"Malaria Kalaazar, Pregnant",,Misc,Boolean,Pregnant,,,,,,,,,,,,,
,"Malaria Kalaazar, Microscopy Details",,Misc,Coded,Microscopy details,,,,,,BM,SP,Others,RDT/RK39,,,,
,"Malaria Kalaazar, Slide Receive Date",,Misc,Date,Slide receive date,,,,,,,,,,,,,
,"Malaria Kalaazar, Slide Test Date",,Misc,Date,Slide test date,,,,,,,,,,,,,
,"Malaria Kalaazar, RDT/RK39 Test Date",,Misc,Date,RDT/RK39 test date,,,,,,,,,,,,,
,"Malaria Kalaazar, KATF (Kala-azar Treatment Failure Case)",,Misc,Boolean,KATF ( Kala-azar treatment failure case),,,,,,,,,,,,,
,"Malaria Kalaazar, Treatment Start Date",,Misc,Date,Treatment start date,,,,,,,,,,,,,
,"Malaria Kalaazar, Malaria Type",,Misc,Coded,Malaria type,,,,,,Plasmodium Vivax,Plasmodium Falciparum,Plasmodium Mixed,,,,,
,"Malaria Kalaazar, Classification",,Misc,Coded,Classification,,,,,,Indigenous,Imported,,,,,,
,"Malaria Kalaazar, Malaria PF Patients Follow Up Test Date",,Misc,Date,Malaria PF Patients Follow Up Test date,,,,,,,,,,,,,
,"Malaria Kalaazar, Malaria PF Patients Follow Up Test Result",,Misc,Coded,Malaria PF Patients Follow Up Test Result,,,,,,Positive,Negative,,,,,,
,"Malaria Kalaazar, Kalaazar PF Patients Follow Up Test Date",,Misc,Date,Kalaazar PF Patients Follow Up Test date,,,,,,,,,,,,,
,"Malaria Kalaazar, KalaazarPF Patients Follow Up Test Result",,Misc,Coded,Kalaazar PF Patients Follow Up Test Result,,,,,,Positive,Negative,,,,,,
,"Malaria Kalaazar, Death Date",,Misc,Date,Death Date,,,,,,,,,,,,,
,"Malaria Kalaazar, Remarks",,Misc,Text,Remarks,,,,,,,,,,,,,
