uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,"Nephroblastoma, Chest X-ray",,Misc,Text,Chest X-ray,,,,,,,,,,,
,"Nephroblastoma, Chest X-ray study date",,Misc,Date,Study date,,,,,,,,,,,
,"Nephroblastoma, Abdominal Ultrasound",,Misc,Text,Abdominal Ultrasound,,,,,,,,,,,
,"Nephroblastoma, Abdominal Ultrasound study date",,Misc,Date,Study date,,,,,,,,,,,
,"Nephroblastoma, CT scan of Abdomen / Pelvis",,Misc,Text,CT scan of Abdomen / Pelvis,,,,,,,,,,,
,"Nephroblastoma, CT scan of Abdomen / Pelvis study date",,Misc,Date,Study date,,,,,,,,,,,
,"Nephroblastoma, CT scan of Chest",,Misc,Text,CT scan of Chest,,,,,,,,,,,
,"Nephroblastoma, CT scan of Chest study date",,Misc,Date,Study date,,,,,,,,,,,
,"Nephroblastoma, Imaging assessment",,Misc,Coded,Imaging Assessment,,,,,,Non-Metastatic,Metastatic,Bilateral,Unknown,,
,"Nephroblastoma, Left kidney mass",,Misc,Text,Left kidney mass,,,,,,,,,,,
,"Nephroblastoma, Left kidney size",,Misc,Text,Kidney size,,,,,,,,,,,
,"Nephroblastoma, Right kidney mass",,Misc,Text,Right kidney mass,,,,,,,,,,,
,"Nephroblastoma, Right kidney size",,Misc,Text,Kidney size,,,,,,,,,,,
,"Nephroblastoma, Notes",,Misc,Text,Notes,,,,,,,,,,,
,"Nephroblastoma, Biopsy for inconclusive imaging",,Misc,Coded,Biopsy done because of inconclusive imaging diagnosis (specify them),,,,,,FNA,Open biopsy,,,,
,"Nephroblastoma, Pathological diagnosis, Nephroblastoma",,Misc,Boolean,Pathological diagnosis – Nephroblastoma,,,,,,,,,,,
,"Nephroblastoma, Pathological diagnosis, Other",,Misc,Text,Pathological diagnosis – Other,,,,,,,,,,,
,"Nephroblastoma, Current medications",,Misc,Text,All current medications,,,,,,,,,,,
,"Nephroblastoma, Known allergies",,Misc,Text,All known allergies,,,,,,,,,,,
,"Nephroblastoma, HIV Positive",,Misc,Boolean,HIV Positive,,,,,,,,,,,
,"Nephroblastoma, Pre-operative treatment intent",,Misc,Coded,Treatment Intent,,,,,,Curative,Palliative systemic,Palliation only,,,
,"Nephroblastoma, Pre-operative Chemotherapy, Planned",,Misc,Boolean,Planned Pre-operative Chemotherapy,,,,,,,,,,,
,"Nephroblastoma, Pre-operative Chemotherapy, Regimen",,Misc,Coded,Regimen,,,,,,Vincristine / Actinomycin D,Vincristine / Actinomycin D / Doxorubicin,,,,
,"Nephroblastoma, Pre-operative Chemotherapy, Planned first cycle",,Misc,Date,Planned first cycle,,,,,,,,,,,
,"Nephroblastoma, Pre-operative Chemotherapy, Planned regimen end",,Misc,Date,Planned regimen end,,,,,,,,,,,
,"Nephroblastoma, Pre-operative Chemotherapy, Standard regimen change",,Misc,Text,Planned change to standard regimen,,,,,,,,,,,
,"Nephroblastoma, Surgery Planned",,Misc,Boolean,Surgery planned,,,,,,,,,,,
,"Nephroblastoma, Surgery Planned date",,Misc,Date,Planned date,,,,,,,,,,,
,"Nephroblastoma, Surgery Planned, Left side",,Misc,Coded,Left Side,,,,,,Partial nephrectomy,Total nephrectomy,,,,
,"Nephroblastoma, Surgery Planned, Left side other",,Misc,Text,Left side other,,,,,,,,,,,
,"Nephroblastoma, Surgery Planned, Right side",,Misc,Coded,Right Side,,,,,,Partial nephrectomy,Total nephrectomy,,,,
,"Nephroblastoma, Surgery Planned, Right side other",,Misc,Text,Right side other,,,,,,,,,,,
,"Nephroblastoma, Notes from operative report",,Misc,Text,Operative report / Surgeon consultation,,,,,,,,,,,
,"Nephroblastoma, Date of surgery",,Misc,Date,Date of surgery,,,,,,,,,,,
,"Nephroblastoma, Surgical procedure, Left side",,Misc,Coded,Left side,,,,,,Partial nephrectomy,Total nephrectomy,,,,
,"Nephroblastoma, Surgical procedure, Left side other",,Misc,Text,Left side other,,,,,,,,,,,
,"Nephroblastoma, Surgical procedure, Right side",,Misc,Coded,Right side,,,,,,Partial nephrectomy,Total nephrectomy,,,,
,"Nephroblastoma, Surgical procedure, Right side other",,Misc,Text,Right side other,,,,,,,,,,,
,"Nephroblastoma, Surgical procedure, Other notes",,Misc,Text,Surgical procedure other notes,,,,,,,,,,,
,"Nephroblastoma, Surgical pathology, report date",,Misc,Date,Surgical pathology report date,,,,,,,,,,,
,"Nephroblastoma, Surgical, Pathological diagnosis, Nephroblastoma",,Misc,Boolean,Pathological diagnosis – Nephroblastoma,,,,,,,,,,,
,"Nephroblastoma, Surgical, Pathological diagnosis, Other",,Misc,Text,Pathological diagnosis – Other,,,,,,,,,,,
,"Nephroblastoma, Overall stage",,Misc,Coded,Overall stage,,,,,,"Overall stage, 0","Overall stage, I","Overall stage, II","Overall stage, III","Overall stage, IV","Overall stage, V"
,"Nephroblastoma, Bilateral staging, Right",,Misc,Coded,Right,,,,,,"Nephroblastoma, Bilateral staging, I","Nephroblastoma, Bilateral staging, II","Nephroblastoma, Bilateral staging, III",,,
,"Nephroblastoma, Bilateral staging, Left",,Misc,Coded,Left,,,,,,"Nephroblastoma, Bilateral staging, I","Nephroblastoma, Bilateral staging, II","Nephroblastoma, Bilateral staging, III",,,
,"Nephroblastoma, Post-operative treatment intent",,Misc,Coded,Treatment plan,,,,,,Curative,Palliative systemic therapy,Palliation Only,,,
,"Nephroblastoma, Post-operative Chemotherapy, Planned",,Misc,Boolean,Planned Post-operative Chemotherapy,,,,,,,,,,,
,"Nephroblastoma, Post-operative Chemotherapy, Regimen",,Misc,Coded,Regimen,,,,,,Vincristine / Actinomycin D,Vincristine / Actinomycin D / Doxorubicin,,,,
,"Nephroblastoma, Post-operative Chemotherapy, Planned first cycle",,Misc,Date,Planned first cycle,,,,,,,,,,,
,"Nephroblastoma, Post-operative Chemotherapy, Planned regimen end",,Misc,Date,Planned regimen end,,,,,,,,,,,
,"Nephroblastoma, Post-operative Chemotherapy, Standard regimen change",,Misc,Text,Planned change to standard regimen,,,,,,,,,,,
,"Nephroblastoma, Radiation therapy planned",,Misc,Boolean,Planned Radiation therapy,,,,,,,,,,,
,"Nephroblastoma, Radiation therapy planned date",,Misc,Date,Radiation therapy planned date,,,,,,,,,,,
,"Nephroblastoma, Oncologist",,Misc,Text,Oncologist,,,,,,,,,,,
,"Nephroblastoma, Surgeon",,Misc,Text,Surgeon,,,,,,,,,,,
,"Nephroblastoma, Treatment plan confirmed by",,Misc,Text,Treatment plan confirmed by,,,,,,,,,,,
