uuid,name,class,datatype,shortname,description,reference-term-code,reference-term-relationship,reference-term-source,units,High Normal,Low Normal,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9
,"Nutrition, Birth Weight",Misc,Numeric,Birth weight,,,,,Grams,,,,,,,,,,,,
,"Nutrition, Birth Condition",Misc,Coded,Birth condition,,,,,,,,,Normal,Risky,Very Risky,,,,,,
,"Nutrition, Age as on Date",Misc,Numeric,Age as on date,,,,,Months,,,,,,,,,,,,
,"Nutrition, Weight as on Date",Misc,Numeric,Weight as on date,,,,,Grams,,,,,,,,,,,,
,"Nutrition, Only Breast Feeding for 6 Months",Misc,Boolean,Only breast feeding for 6 months,,,,,,,,,,,,,,,,,
,"Nutrition, Only Breast Feeding Till Date",Misc,Date,Only breast feeding till date,,,,,,,,,,,,,,,,,
,"Nutrition, Breast Feeding and Light Food",Misc,Boolean,Brest feeding and light food after 6 months,,,,,,,,,,,,,,,,,
,"Nutrition, Breast Feeding and Light Food Start Date",Misc,Date,Start date of breast feeding along with light food,,,,,,,,,,,,,,,,,
,"Nutrition, Bal Vita Given",Misc,Numeric,Bal Vita provided,,,,,,,,,,,,,,,,,
,"Nutrition, Bal Vita Provided by FCHV ",Misc,Numeric,FCHV which provieded Bal Vita,,,,,,,,,,,,,,,,,
