uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11
,"Out Patient Details, Allergic / Immunologic",,Misc,Coded,Allergic / Immunologic,,,,,Swelling,Choking,,,,,,,,,
,"Out Patient Details, Allergies",,Misc,Text,Allergies,,,,,,,,,,,,,,,
,"Out Patient Details, Associated Signs or Symptoms",,Misc,Text,Associated signs or symptoms,,,,,,,,,,,,,,,
,"Out Patient Details, Chief Complaint",,Misc,Text,Chief Complaint,,,,,,,,,,,,,,,
,"Out Patient Details, Constitutional",,Misc,Coded,Constitutional,,,,,Weight Loss,Night Sweats,Fatigue,Fever,Chills,,,,,,
,"Out Patient Details, Context",What were you doing when it started,Misc,Text,Context,,,,,,,,,,,,,,,
,"Out Patient Details, Contraception",,Misc,Boolean,Contraception,,,,,,,,,,,,,,,
,"Out Patient Details, Current Home Medications",,Misc,Text,Current Home Medications,,,,,,,,,,,,,,,
,"Out Patient Details, CV",,Misc,Coded,CV,,,,,Chest Pain,Shortness of Breath,Reduced Exercise Tolerance,PND,Orthopnea,Edema,Palpitations,,,,
,"Out Patient Details, Date of LMP",,Misc,Date,Date of LMP,,,,,,,,,,,,,,,
,"Out Patient Details, Diastolic",,Misc,Numeric,Diastolic,,,,,,,,,,,,,,,
,"Out Patient Details, Diastolic Abnormal",,Abnormal,Boolean,Diastolic Abnormal,,,,,,,,,,,,,,,
,"Out Patient Details, Drugs Exposure",,Misc,Boolean,Exposed to Drugs,,,,,,,,,,,,,,,
,"Out Patient Details, Duration",When did it Start,Misc,Text,Duration,,,,,,,,,,,,,,,
,"Out Patient Details, EKG",,Misc,Text,EKG,,,,,,,,,,,,,,,
,"Out Patient Details, Endocrine",,Misc,Coded,Endocrine,,,,,Heat / Cold Intolerence,Polyuria,Polydypsia,Darkening of Skin,,,,,,,
,"Out Patient Details, ENT",,Misc,Coded,ENT,,,,,Congestion,Epistaxis,Tinnitus,Sore Throat,,,,,,,
,"Out Patient Details, Etoh",,Misc,Boolean,Etoh,,,,,,,,,,,,,,,
,"Out Patient Details, Eyes",,Misc,Coded,Eyes,,,,,Visual Changes,Eye Pain,Floaters,,,,,,,,
,"Out Patient Details, Family History",,Misc,Text,Family History,,,,,,,,,,,,,,,
,"Out Patient Details, Frequency",,Misc,Boolean,Frequency,,,,,,,,,,,,,,,
,"Out Patient Details, Genital",,Misc,Coded,Genital,,,,,Vaginal / Penile Discharge,Ulcers,,,,,,,,,
,"Out Patient Details, GI",,Misc,Coded,GI,,,,,Abdominal Pain,Trouble Swallowing,Indigestion,Bloating,Cramping,N/V/D/C,BRBPR,Melena,Tenesmus,,
,"Out Patient Details, Heavy / Light",,Misc,Coded,Heavy / Light,,,,,Heavy,Light,,,,,,,,,
,"Out Patient Details, Heme / Lymph",,Misc,Coded,Heme / Lymph,,,,,Purpura,Petechial,Excessive Bleeding,,,,,,,,
,"Out Patient Details, Lab Studies",,Misc,Text,Lab Studies,,,,,,,,,,,,,,,
,"Out Patient Details, Last Visit Date",,Misc,Date,Last Visit Date,,,,,,,,,,,,,,,
