name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1
Date of Surgery,,Misc,Date,Date of Surgery,,,,,,
Surgery type,,Misc,Text,Surgery type,,,,,,
Pre operative diagnosis,,Misc,Text,Pre operative diagnosis,,,,,,
Post operative diagnosis,,Misc,Text,Post operative diagnosis,,,,,,
Operating Surgeon,,Misc,Text,Surgeon,,,,,,
Operating Assistant Surgeon,,Misc,Text,Assistant Surgeon,,,,,,
Operation Anesthetist,,Misc,Text,Anesthetist,,,,,,
Anesthesia administered,,Misc,Text,Anesthesia,,,,,,
Incision,,Misc,Text,Incision,,,,,,
Operation Findings,(including the condition of all the organs examined),Misc,Text,Findings,,,,,,
Operation Procedure,"(including incision, ligature sutures, drainage, sponge, count and closure)",Misc,Text,Procedure,,,,,,
Blood loss during operation,,Misc,Text,Blood loss,,,,,,
Operation duration,,Misc,Text,Duration,,,,,,
Cytopathology Number,,Misc,Text,Cytopath – No.,,,,,,
Histopathology number,,Misc,Text,Histopath – (No. and labeling),,,,,,
Intra operation specimens and results,,Misc,Text,Intra OP specimens (& Results),,,,,,
Other operation notes,,Misc,Text,Others (Specify),,,,,,
