uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1
,Date of Surgery,,Misc,Date,Date of Surgery,,,,,,,,,
,Surgery type,,Misc,Text,Surgery type,,,,,,,,,
,Pre operative diagnosis,,Misc,Text,Pre Op Diagnosis,,,,,,,,,
,Post operative diagnosis,,Misc,Text,Post Op Diagnosis,,,,,,,,,
,Operating Surgeon,,Misc,Text,Surgeon,,,,,,,,,
,Operating Assistant Surgeon,,Misc,Text,Assistant Surgeon,,,,,,,,,
,Operation Anesthetist,,Misc,Text,Anesthetist,,,,,,,,,
,Anesthesia administered,,Misc,Text,Anesthesia,,,,,,,,,
,Incision,,Misc,Text,Incision,,,,,,,,,
,Operation Findings,,Misc,Text,Findings,,,,,,,,,
,Operation Procedure,,Misc,Text,Procedure,,,,,,,,,
,Operative Drains,,Misc,Text,Drains,,,,,,,,,
,Operative Complications,,Misc,Text,Operative Complications,,,,,,,,,
,Blood loss during operation,,Misc,Text,Blood loss,,,,,,,,,
,Operation duration,,Misc,Text,Duration,,,,,,,,,
,Cytopathology Number,,Misc,Text,Cytopath No.,,,,,,,,,
,Histopathology number,,Misc,Text,Histopath (No. and labeling),,,,,,,,,
,Intra operation specimens and results,,Misc,Text,Intra OP specimens (& Results),,,,,,,,,
,Other operation notes,,Misc,Text,Specify others,,,,,,,,,
