uuid,name,shortname,description,class,reference-term-code,reference-term-relationship,reference-term-source,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,"PMTCT, Women identified HIV Positive",Women identified HIV Positive,,Misc,,,,"PMTCT, Women identified HIV Positive during","PMTCT, Diagnosed HIV +ve Date",,,,,,,,,,,,,,,,,,,,,,,,
,"PMTCT, HIV Status of Male Partner",HIV Status of Male Partner,,Misc,,,,"PMTCT, Who already know their HIV status","PMTCT, Referred if the status is unknown",,,,,,,,,,,,,,,,,,,,,,,,
,"PMTCT, ART Eligibility",ART Eligibility and First CD4 count date,,Misc,,,,"PMTCT, WHO clinical staging","PMTCT, CD4 count","PMTCT, Date of first CD4 count",,,,,,,,,,,,,,,,,,,,,,,
,"PMTCT, ART Treatmenet",ART Treatment,,Misc,,,,"PMTCT, Started ART during","PMTCT, ART started date","PMTCT, ART Regimen",,,,,,,,,,,,,,,,,,,,,,,
,"PMTCT, CD4 count after",CD4 Count After,,Misc,,,,"PMTCT, CD4 count after 6 months","PMTCT, CD4 count after 12 months",,,,,,,,,,,,,,,,,,,,,,,,
,"PMTCT, TB Treatment During",TB Treatment During,,Misc,,,,"PMTCT, Pregnancey category when TB treatment started","PMTCT, TB treatment started date",,,,,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Follow-up on ART",Follow-up on ART,,Misc,,,,"PMTCT, Antepartum","PMTCT, Adherence Level","PMTCT, Delivery","PMTCT, Baby birth status","PMTCT, Postpartum",,,,,,,,,,,,,,,,,,,,,
,"PMTCT, HIV Positive Born Babies",HIV Positive Born Babies,,Misc,,,,"PMTCT, Live Birth","PMTCT, Bright Weight",,,,,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Date and Place for Transfer out for continuum",Date and Place for Transfer out for continuum,,Misc,,,,"PMTCT, Place of transfer out for continuum","PMTCT, Date of Transfer out for continuum","PMTCT, Remarks of transfer out for continuum",,,,,,,,,,,,,,,,,,,,,,,
,"PMTCT, End of Follow-up",End of Follow-up,,Misc,,,,"PMTCT, Transfer out during pregnancy","PMTCT, Date of last follow-up","PMTCT, Date of Death","PMTCT, Date and Place for Transfer out for continuum",,,,,,,,,,,,,,,,,,,,,,
,PMTCT Intake Template,PMTCT – Intake,,Misc,,,,"PMTCT, Risk Group","PMTCT, Other Risk Group","PMTCT, Women identified HIV Positive","PMTCT, HIV Status of Male Partner","PMTCT, ART Eligibility","PMTCT, ART Treatmenet","PMTCT, CD4 count after","PMTCT, TB Treatment During","PMTCT, Follow-up on ART","PMTCT, HIV Positive Born Babies","PMTCT, Started ARV Prophylaxis for Baby","PMTCT, Breast feeding options opted by HIV +ve mother","PMTCT, FP services during","PMTCT, End of Follow-up",,,,,,,,,,,,
