uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"PMTCT, Risk Group",,Misc,Coded,Risk Group,,,,,Sex Worker,People Who Inject Drugs,MSM & TG,Blood or Organ Recipient,Client of Sex Worker,Migrant,Spouse/Partner of Migrant,Others,,,,,,,,
,"PMTCT, Other Risk Group",,Misc,Text,Others(Specify),,,,,,,,,,,,,,,,,,,,
,"PMTCT, Women identified HIV Positive during",,Misc,Coded,During,,,,,Before Pregnancy,Antenatal Period,Postpartum,,,,,,,,,,,,,
,"PMTCT, Diagnosed HIV +ve Date",,Misc,Date,Diagnosed HIV +ve Date,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Who already know their HIV status",,Misc,Coded,Who already know their HIV status,,,,,Negative,Positive,,,,,,,,,,,,,,
,"PMTCT, Referred if the status is unknown",,Misc,Boolean,Referred if the status is unknown,,,,,,,,,,,,,,,,,,,,
,"PMTCT, WHO clinical staging",,Misc,Coded,WHO clinical staging,,,,,Stage I,Stage II,Stage III,Stage IV,,,,,,,,,,,,
,"PMTCT, CD4 count",,Misc,Numeric,CD4 count,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Date of first CD4 count",,Misc,Date,Date of first CD4 count,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Started ART during",,Misc,Coded,Started ART during,,,,,Before Pregnancy,Antenatal Period,Intrapartum,Postnatal,,,,,,,,,,,,
,"PMTCT, ART started date",,Misc,Date,ART started date,,,,,,,,,,,,,,,,,,,,
,"PMTCT, ART Regimen",,Misc,Text,Regimen,,,,,,,,,,,,,,,,,,,,
,"PMTCT, CD4 count after 6 months",,Misc,Numeric,After 6 months,,,,,,,,,,,,,,,,,,,,
,"PMTCT, CD4 count after 12 months",,Misc,Numeric,After 12 months,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Pregnancey category when TB treatment started",,Misc,Coded,Pregnancey category,,,,,Category A,Category B,Category C,Category D,Category X,Category N,,,,,,,,,,
,"PMTCT, TB treatment started date",,Misc,Date,TB treatment started date,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Antepartum",,Misc,Coded,Antepartum,,,,,On Treatment,Stopped Treatment,Transferred Out,Missing,Lost to Follow-up,Death,,,,,,,,,,
,"PMTCT, Adherence Level",,Misc,Coded,Adherence Level,,,,,95 percent,80 to 90 percent,Less than 80 percent,,,,,,,,,,,,,
,"PMTCT, Normal Delivery",,Misc,N/A,Normal Delivery,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Vaccum Delivery",,Misc,N/A,Vaccum Delivery,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Forceps Delivery",,Misc,N/A,Forceps Delivery,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Cesarean Section Delivery",,Misc,N/A,Cesarean Section Delivery,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Delivery",,Misc,Coded,Delivery,,,,,"PMTCT, Normal Delivery","PMTCT, Vaccum Delivery","PMTCT, Forceps Delivery","PMTCT, Cesarean Section Delivery",,,,,,,,,,,,
,"PMTCT, Baby birth status",,Misc,Coded,Baby birth status,,,,,Livebirth,Stillbirth,Stillbirth Macerated,,,,,,,,,,,,,
,"PMTCT, Postpartum",,Misc,Coded,Postpartum,,,,,On Treatment,Stopped Treatment,Transferred Out,Missing,Lost to Follow-up,Death,,,,,,,,,,
,"PMTCT, Live Birth",,Misc,Numeric,Live Birth,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Birth Weight",,Misc,Numeric,Birth Weight,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Started ARV Prophylaxis for Baby",,Misc,Boolean,Started ARV Prophylaxis for Baby,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Breast feeding options opted by HIV +ve mother",,Misc,Coded,Breast feeding options opted by HIV +ve mother,,,,,Exclusive Breast Feeding,Replacement Breast Feeding,Mixed Breast Feeding,,,,,,,,,,,,,
,"PMTCT, FP services during",,Misc,Boolean,FP services during,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Transfer out during pregnancy",,Misc,Date,Transfer out during pregnancy,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Date of last follow-up",,Misc,Date,Date of last follow-up,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Date of Death",,Misc,Date,Date of Death,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Place of transfer out for continuum",,Misc,Text,Place,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Date of Transfer out for continuum",,Misc,Date,Date,,,,,,,,,,,,,,,,,,,,
,"PMTCT, Remarks of transfer out for continuum",,Misc,Text,Remarks,,,,,,,,,,,,,,,,,,,,
