uuid,name,class,datatype,shortname,description,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7
,"Rheumatoid Arthritis, Top Differential Diagnosis",Misc,Coded,Top differential diagnosis,,,,,,Osteoarthritis,Syetematic Rheumatic Diseases,Acute Viral Polyarthritis,Psoriatic Arthritis,Crystalline Arthritis,Fibromyalgia,Reactive Arthritis
,"Rheumatoid Arthritis, Pain Assessment",Misc,Numeric,Pain assessment,,,,,,,,,,,,
,"Rheumatoid Arthritis, Pain Assessment Abnormal ",Misc,Boolean,Pain Assessment Abnormal,,,,,,,,,,,,
,"Rheumatoid Arthritis, Pain Assessment Today",Misc,Coded,Pain assessment today,,,,,,No Pain,Worst in Life,,,,,
,"Rheumatoid Arthritis, Joints Affected Today",Misc,Text,Joints affected today,,,,,,,,,,,,
,"Rheumatoid Arthritis, Chief Complaint",Misc,Text,Chief complaint,,,,,,,,,,,,
,"Rheumatoid Arthritis, New Symptoms",Misc,Text,New Symptoms / History of Present Illness,,,,,,,,,,,,
,"Rheumatoid Arthritis, Recent Steroid Treatment",Misc,Text,Recent PO steroid treatment for Flare,,,,,,,,,,,,
,"Rheumatoid Arthritis, Current Home Medications",Misc,Coded,Current home medications,,,,,,Methotrexade,NSAID,Prednisone,,,,
,"Rheumatoid Arthritis, All Other Medicines",Misc,Text,All other Medicines,,,,,,,,,,,,
,"Rheumatoid Arthritis, Systolic",Misc,Numeric,Systolic,,,,,,,,,,,,
,"Rheumatoid Arthritis, Systolic Abnormal",Abnormal,Boolean,Systolic Abnormal,,,,,,,,,,,,
,"Rheumatoid Arthritis, Diastolic",Misc,Numeric,Diastolic,,,,,,,,,,,,
,"Rheumatoid Arthritis, Diastolic Abnormal",Abnormal,Boolean,Diastolic Abnormal,,,,,,,,,,,,
,"Rheumatoid Arthritis, Pulse",Misc,Numeric,Pulse,,,,,,,,,,,,
,"Rheumatoid Arthritis, Pulse Abnormal",Abnormal,Boolean,Pulse Abnormal,,,,,,,,,,,,
,"Rheumatoid Arthritis, RR",Misc,Numeric,RR,,,,,,,,,,,,
,"Rheumatoid Arthritis, RR Abnormal",Abnormal,Boolean,RR Abnormal,,,,,,,,,,,,
,"Rheumatoid Arthritis, SAT",Misc,Numeric,SAT,,,,,,,,,,,,
,"Rheumatoid Arthritis, SAT Abnormal",Abnormal,Boolean,SAT Abnormal,,,,,,,,,,,,
,"Rheumatoid Arthritis, Temperature",Misc,Numeric,Temperature,,,,,,,,,,,,
,"Rheumatoid Arthritis, Temperature Abnormal",Abnormal,Boolean,Temperature Abnormal,,,,,,,,,,,,
,"Rheumatoid Arthritis, Physical Examination Details",Misc,Text,Physical Examination Details,"GENERAL<br>
NEURO<br>                                          
HEENT<br> 
CARDIO - murmur  - regular<br>
LUNGS<br> 
ABDOMEN<br> 
EXTREMITIES - edema<br>
JOINTS - inflammation in at least one joint<br>
SKIN - psoriatic scale<br>
NAILS – pitting<br>",,,,,,,,,,,
,"Rheumatoid Arthritis, Non-compliance",Misc,Boolean,Non-compliance,,,,,,,,,,,,
,"Rheumatoid Arthritis, Non-compliance Reason",Misc,Text,Non-compliance Reason,,,,,,,,,,,,
