uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10
,"Seizure Disorder, Last Visit Date",,Misc,Date,Last Visit Date,,,,,,,,,,,,,,
,"Seizure Disorder, Previous Followup Location",,Misc,Text,Previous Followup Location,,,,,,,,,,,,,,
,"Seizure Disorder, Diagnosis Status",,Misc,Coded,Diagnosis Status,,,,,No Previous Diagnosis,Confirmed Elsewhere,,,,,,,,
,"Seizure Disorder, Date Confirmed",,Misc,Date,Date Confirmed,,,,,,,,,,,,,,
,"Seizure Disorder, Risk Factors",,Misc,Coded,Risk factors,,,,,Head Injury,Stroke,Alzheimer Disease,Intracranial Infection,Alcohol Abuse,Drug Abuse,HIV / AIDS,,,
,"Seizure Disorder, EEG",,Misc,Text,EEG,,,,,,,,,,,,,,
,"Seizure Disorder, CT Head",,Misc,Text,CT Head,,,,,,,,,,,,,,
,"Seizure Disorder, Seizure Classification","Partial -<br>
Rhythmic jerking movements of the face, arm, or leg may stare into space<br>
Remain motionless <br>
Engage in repetitive behaviors ( facial grimacing, gesturing, chewing, <br>
lip smacking, snapping fingers, repeating words or phrases, walking, running, or undressing)<br>

Generalized / Tonic – Clonic <br>
Scream or shriek<br>
Appear cyanotic <br>
Violent muscle jerking / appears stiff<br>
Tongue biting<br>
Frothing from mouth<br>
Loss of bowel/bladder control<br>
Loss of consciousness<br>",Misc,Coded,Seizure Classification,,,,,Partial,Generalized / Tonic – Clonic,,,,,,,,
,"Seizure Disorder, Description of Seizure Episodes",,Misc,Text,Further description of seizure episodes,,,,,,,,,,,,,,
,"Seizure Disorder, Smoking History",,Misc,Boolean,Smoking History,,,,,,,,,,,,,,
,"Seizure Disorder, Packs per day",,Misc,Numeric,Packs per day,,,,,,,,,,,,,,
,"Seizure Disorder, Number of years",,Misc,Numeric,Number of years,,,,,,,,,,,,,,
,"Seizure Disorder, Current Smoker",,Misc,Boolean,Current Smoker,,,,,,,,,,,,,,
,"Seizure Disorder, Quit Smoking Since",,Misc,Text,Quit Smoking Since,,,,,,,,,,,,,,
,"Seizure Disorder, Alcohol Abuse",,Misc,Boolean,Alcohol Abuse,,,,,,,,,,,,,,
,"Seizure Disorder, Currently Exposed to Alcohol",,Misc,Boolean,Currently Exposed to Alcohol,,,,,,,,,,,,,,
,"Seizure Disorder, Alcohol Abuse Details",,Misc,Text,Alcohol Abuse Details,,,,,,,,,,,,,,
,"Seizure Disorder, Previous Seizure Medication Discontinuation Reasons",,Misc,Coded,Previous seizure medications – and reasons for discontinuation,,,,,Ineffective,Adverse Effects,,,,,,,,
,"Seizure Disorder, Other Reasons for Seizure MedicationDiscontinuation",,Misc,Text,Other reasons for Seizure medication discontinuation ,,,,,,,,,,,,,,
,"Seizure Disorder, Current Home Medications",,Misc,Text,Current home medications,,,,,,,,,,,,,,
