uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"STI, STI Counseling",,Misc,Boolean,STI Counseling,,,,,,,,,,,,,,,,,,,,
,"STI, STI Diagnosis Syndrome",,Misc,Coded,STI Diagnosis,,,,,Urethral Discharge Syndrome,Scortal Swelling Syndrome,Vaginal Discharge Syndrome,Lower Abdominal Pain Syndrome,Genital Ulcer Disease Syndrome,Inguinal Bubo Syndrome,Cervisitis,Vaginitis,Herpes Genitalis,Others,,,,,,
,"STI, Other STI Diagnosis Syndrome",,Misc,Text,Others (Specify),,,,,,,,,,,,,,,,,,,,
,"STI, Syphilis Screening",,Misc,Boolean,Syphilis Screening,,,,,,,,,,,,,,,,,,,,
,"STI, Rapid plasma reagin +ve",,Misc,Boolean,RPR +ve,,,,,,,,,,,,,,,,,,,,
,"STI, Treponema pallidum particle agglutination assay +ve",,Misc,Boolean,TPPA +ve,,,,,,,,,,,,,,,,,,,,
,"STI, Gram-Negative Intracellular Diplococci +ve",,Misc,Boolean,GNID +ve,,,,,,,,,,,,,,,,,,,,
,"STI, Risk Group",,Misc,Coded,Risk Group,,,,,Sex Worker,People Who Inject Drugs,MSM and Transgenders,Blood or Organ Recipient,Client of Sex Worker,Migrant,Spouse/Partner of Migrant,Others,,,,,,,,
,"STI, Other Risk Group",,Misc,Text,Others (Specify),,,,,,,,,,,,,,,,,,,,
,"STI, Sydromic Treatment",,Misc,Boolean,Syndromic,,,,,,,,,,,,,,,,,,,,
,"STI, Etiological Treatment",,Misc,Boolean,Etiological,,,,,,,,,,,,,,,,,,,,
,"STI, Presumptive Treatment for Sex Workers",,Misc,Boolean,Presumptive Treatment for Sex Workers,,,,,,,,,,,,,,,,,,,,
,"STI, Asymptomatic Partners Treated",,Misc,Boolean,Asymptomatic Partners Treated,,,,,,,,,,,,,,,,,,,,
,"STI, Referral",,Misc,Coded,Referred,,,,,Referral In,Referral Out,,,,,,,,,,,,,,
