uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8
,"Stroke, Systolic",,Misc,Numeric,Systolic,,,,,,,,,,,,
,"Stroke, Systolic Abnormal",,Abnormal,Boolean,Systolic Abnormal,,,,,,,,,,,,
,"Stroke, Diastolic",,Misc,Numeric,Diastolic,,,,,,,,,,,,
,"Stroke, Diastolic Abnormal",,Abnormal,Boolean,Diastolic Abnormal,,,,,,,,,,,,
,"Stroke, LDL",,Misc,Text,LDL,,,,,,,,,,,,
,"Stroke, Last LDL Date",,Misc,Date,Last LDL date,,,,,,,,,,,,
,"Stroke, Qualifies for Atorvastatin",,Misc,Boolean,Does patient qualify for atorvastatin,,,,,,,,,,,,
,"Stroke, Patient is Diabetic",,Misc,Boolean,Does patient has diabetes,,,,,,,,,,,,
,"Stroke, Is Diabetes Controlled",,Misc,Boolean,Is diabetes controlled,,,,,,,,,,,,
,"Stroke, A1c",,Misc,Text,A1c,,,,,,,,,,,,
,"Stroke, Last A1c Date",,Misc,Date,Last A1c date,,,,,,,,,,,,
,"Stroke, Patient in Low Aspirin for Secondary Stroke Prevention",all patients with prior stroke should be on low-dose aspirin,Misc,Boolean,Is patient in low aspirin for secondary stroke prevention,,,,,,,,,,,,
,"Stroke, Smoker","if yes, please counsel patient on quitting smoking",Misc,Boolean,Smoker,,,,,,,,,,,,
