uuid,name,description,class,datatype,shortname,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,New Diagnosis,,Misc,N/A,New,,,,,,,,,,,,,,,,
,Treatment after default,,Misc,N/A,Treatment after default,,,,,,,,,,,,,,,,
,Treatment after relapse,,Misc,N/A,Treatment after relapse,,,,,,,,,,,,,,,,
,Treatment after failure,,Misc,N/A,Treatment after failure,,,,,,,,,,,,,,,,
,Pulmonary,,Misc,N/A,Pulmonary,,,,,,,,,,,,,,,,
,Extrapulmonary,,Misc,N/A,Extrapulmonary,,,,,,,,,,,,,,,,
,Not Applicable,,Misc,N/A,Not Applicable,,,,,,,,,,,,,,,,
,Positive,,Misc,N/A,Positive,,,,,,,,,,,,,,,,
,Negative,,Misc,N/A,Negative,,,,,,,,,,,,,,,,
,Pleural,,Misc,N/A,Pleural,,,,,,,,,,,,,,,,
,Lymph Node,,Misc,N/A,Lymph Node,,,,,,,,,,,,,,,,
,Intestinal,,Misc,N/A,Intestinal,,,,,,,,,,,,,,,,
,Peritoneal,,Misc,N/A,Peritoneal,,,,,,,,,,,,,,,,
,Skeletal,,Misc,N/A,Skeletal,,,,,,,,,,,,,,,,
,Articular,,Misc,N/A,Articular,,,,,,,,,,,,,,,,
,Meningeal,,Misc,N/A,Meningeal,,,,,,,,,,,,,,,,
,Renal,,Misc,N/A,Renal,,,,,,,,,,,,,,,,
,Genital,,Misc,N/A,Genital,,,,,,,,,,,,,,,,
,Cutaneous,,Misc,N/A,Cutaneous,,,,,,,,,,,,,,,,
,Combination of all,,Misc,N/A,Combination of all,,,,,,,,,,,,,,,,
,Pericardial,,Misc,N/A,Pericardial,,,,,,,,,,,,,,,,
,Other part,,Misc,N/A,Others,,,,,,,,,,,,,,,,
,Treatment Complete,,Misc,N/A,Complete,,,,,,,,,,,,,,,,
,Treatment Cured,,Misc,N/A,Cured,,,,,,,,,,,,,,,,
,Treatment Default,,Misc,N/A,Default,,,,,,,,,,,,,,,,
,Death During Treatment,,Misc,N/A,Death During Treatment,,,,,,,,,,,,,,,,
,Treatment Failure,,Misc,N/A,Treatment Failure,,,,,,,,,,,,,,,,
,On Treatment,,Misc,N/A,On Treatment,,,,,,,,,,,,,,,,
,Normal,,Misc,N/A,Normal,,,,,,,,,,,,,,,,
,Healthy,,Misc,N/A,Healthy,,,,,,,,,,,,,,,,
,Relapse,,Misc,N/A,Relapse,,,,,,,,,,,,,,,,
,Death,,Misc,N/A,Death,,,,,,,,,,,,,,,,
,Do not Know,,Misc,N/A,Do not know,,,,,,,,,,,,,,,,
