uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"Tuberculosis, Diagnosis Date",,Misc,Date,Diagnosis Date,Intake,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Symptoms Duration","in months, before diagnosis",Misc,Numeric,Symptoms Duration,Progress,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Diagnosis Category",,Misc,Coded,Diagnosis Category,Intake,,,New Diagnosis,Treatment after default,Treatment after relapse,Treatment after failure,,,,,,,,,,,,
,"Tuberculosis, Type",,Misc,Coded,Tuberculosis Type,Intake,,,Pulmonary,Extrapulmonary,Not Applicable,,,,,,,,,,,,,
,"Tuberculosis, Sputum Culture Result",,Misc,Coded,Sputum Culture Result,Progress,,,Positive,Negative,Not Applicable,,,,,,,,,,,,,
,"Tuberculosis, Extrapulmonary Details",,Misc,Coded,Extrapulmonary Details,Progress,,,Pleural,Lymph Node,Intestinal,Peritoneal,Skeletal,Articular,Meningeal,Renal,Genital,Cutaneous,Combination of all,Pericardial,Other part,Not Applicable,,
,"Tuberculosis, Treatment Stated",,Misc,Boolean,Treatment Started,Intake,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Treatment Outcome",,Misc,Coded,Treatment Outcome,Progress,,,Treatment Complete,Treatment Cured,Treatment Default,Death During Treatment,Treatment Failure,On Treatment,,,,,,,,,,
,"Tuberculosis, Treatment Completion Date",,Misc,Date,Treatment Completion Date,Progress,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Treatment Duration",in months,Misc,Numeric,Treatment Duration,Progress,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Longterm Treatment Outcome",,Misc,Coded,Longterm Treatment Outcome,Progress,,,Normal,Healthy,Relapse,Death,Do not Know,,,,,,,,,,,
,"Tuberculosis, Reason of Default",,Misc,Text,Reason of Default,Progress,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Reason of Death",,Misc,Text,Reason of Death,Progress,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Work efficiency",Work efficiency outcome in terms of physical health,Misc,Text,Work Efficiency,Progress,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Any Tuberculosis affected family member",,Misc,Boolean,Any Tuberculosis affected family member,Progress,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Any Tuberculosis death in family",,Misc,Boolean,Any Tuberculosis death in family,Progress,,,,,,,,,,,,,,,,,,
