uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16
,"Trauma Notes, Systolic Data",Systolic data,,Concept Details,,,,"Trauma Notes, Systolic","Trauma Notes, Systolic Abnormal",,,,,,,,,,,,,,
,"Trauma Notes, Diastolic Data",Diastolic data,,Concept Details,,,,"Trauma Notes, Diastolic","Trauma Notes, Diastolic Abnormal",,,,,,,,,,,,,,
,"Trauma Notes, Blood Pressure",Blood pressure,,ConvSet,,,,"Trauma Notes, Systolic Data","Trauma Notes, Diastolic Data",,,,,,,,,,,,,,
,"Trauma Notes, Pulse Data",Pulse data,,Concept Details,,,,"Trauma Notes, Pulse","Trauma Notes, Pulse Abnormal",,,,,,,,,,,,,,
,"Trauma Notes, RR Data",RR data,,Concept Details,,,,"Trauma Notes, RR","Trauma Notes, RR Abnormal",,,,,,,,,,,,,,
,"Trauma Notes, SAT Data",SAT data,,Concept Details,,,,"Trauma Notes, SAT","Trauma Notes, SAT Abnormal",,,,,,,,,,,,,,
,"Trauma Notes, Temperature Data",Temperature data,,Concept Details,,,,"Trauma Notes, Temperature","Trauma Notes, Temperature Abnormal",,,,,,,,,,,,,,
,"Trauma Notes, Pulse Details",Pulse details,,ConvSet,,,,"Trauma Notes, Pulse Data",,,,,,,,,,,,,,,
,"Trauma Notes, RR Details",RR details,,ConvSet,,,,"Trauma Notes, RR Data",,,,,,,,,,,,,,,
,"Trauma Notes, SAT Details",SAT details,,ConvSet,,,,"Trauma Notes, SAT Data",,,,,,,,,,,,,,,
,"Trauma Notes, Temperature Details",Temperature details,,ConvSet,,,,"Trauma Notes, Temperature Data",,,,,,,,,,,,,,,
,"Trauma Notes, Physical Assessment",Physical Assessment,,Misc,,,,"Trauma Notes, Blood Pressure","Trauma Notes, Pulse Details","Trauma Notes, RR Details","Trauma Notes, SAT Details","Trauma Notes, Temperature Details","Trauma Notes, Physical Examination Details",,,,,,,,,,
,"Trauma Notes, Radiological Findings",Radiological findings,,Misc,,,,"Trauma Notes, Chest X Ray","Trauma Notes, Pelvis","Trauma Notes, C Spine","Trauma Notes, T/L/S Spine","Trauma Notes, Extremity",,,,,,,,,,,
,Trauma Notes,Trauma Notes,,Misc,,,,"Trauma Notes, History of Present Illness","Trauma Notes, PMHx","Trauma Notes, PSHx","Trauma Notes, Social Hx","Trauma Notes, Physical Assessment","Trauma Notes, List of Injuries to Date","Trauma Notes, Radiological Findings","Trauma Notes, Lab Trends",,,,,,,,
