uuid,name,description,class,datatype,shortname,units,High Normal,Low Normal,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8
,"Trauma Notes, Eye Response",,Misc,Numeric,Eye,,4,1,,,,,,,,,,,,,
,"Trauma Notes, Verbal Response",,Misc,Numeric,Verbal,,5,1,,,,,,,,,,,,,
,"Trauma Notes, Motor Response",,Misc,Numeric,Motor,,6,1,,,,,,,,,,,,,
,"Trauma Notes, GCS Score",,Computed,Numeric,GCS score,,15,3,,,,,,,,,,,,,
,"Trauma Notes, History of Present Illness",,Misc,Text,History of present illness,,,,,,,,,,,,,,,,
,"Trauma Notes, Past Medical History",,Misc,Text,PMHx,,,,,,,,,,,,,,,,
,"Trauma Notes, Past Surgical History",,Misc,Text,PSHx,,,,,,,,,,,,,,,,
,"Trauma Notes, Social History",,Misc,Text,Social Hx,,,,,,,,,,,,,,,,
,"Trauma Notes, Physical Examination Details","Hgt:<br>
Wgt:<br>
General:<br>
GCS: E: V: M:<br>
HEENT:<br>
NECK:<br>
Heart:<br>
Chest/Lungs:<br>
Abdomen:<br>
Back:<br>
Rectal:<br>
Extremities:<br>
Neurologic:<br>",Misc,Text,Physical Examination Details,,,,,,,,,,,,,,,,
,"Trauma Notes, List of Injuries to Date",,Misc,Text,List of Injuries to date,,,,,,,,,,,,,,,,
,"Trauma Notes, Chest X Ray",,Misc,Text,CXR,,,,,,,,,,,,,,,,
,"Trauma Notes, Pelvis",,Misc,Text,Pelvis,,,,,,,,,,,,,,,,
,"Trauma Notes, C Spine",,Misc,Text,C-Spine,,,,,,,,,,,,,,,,
,"Trauma Notes, T/L/S Spine",,Misc,Text,T/L/S Spine,,,,,,,,,,,,,,,,
,"Trauma Notes, Extremity",,Misc,Text,Extremity,,,,,,,,,,,,,,,,
,"Trauma Notes, Other",,Misc,Text,Other,,,,,,,,,,,,,,,,
,"Trauma Notes, Lab Trends",,Misc,Text,Lab Trends,,,,,,,,,,,,,,,,
