uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8
,"Tuberculosis, Diagnosis Date",,Misc,Date,Diagnosis date,,,,,,,,,,,,
,"Tuberculosis, Diagnosis Category",,Misc,Coded,Diagnosis category,,,,,New Diagnosis,Treatment After Default,Treatment After Failure,Treatment After Relapse,,,,
,"Tuberculosis, Type",,Misc,Coded,Tuberculosis type,,,,,Pulmonary,Extrapulmonary,Not Applicable,,,,,
,"Tuberculosis, Treatment Started",,Misc,Boolean,Treatment started,,,,,,,,,,,,
,"Tuberculosis, Treatment Stated Date",,Misc,Date,Treatment started date,,,,,,,,,,,,
,"Tuberculosis, Symptoms Duration",,Misc,Text,Symptoms Duration,,,,,,,,,,,,
,"Tuberculosis, Sputum Culture Result",,Misc,Text,Sputum culture result,,,,,,,,,,,,
,"Tuberculosis, Extrapulmonary Details",,Misc,Text,Extrapulmonary results,,,,,,,,,,,,
,"Tuberculosis, Treatment",,Misc,Text,Treatment,,,,,,,,,,,,
,"Tuberculosis, Treatment Outcome",,Misc,Coded,Treatment Outcome,,,,,Cured by Treatment,Treatment Complete,Treatment Default,Treatment Failure,Death During Treatment,On Treatment,,
,"Tuberculosis, Treatment Completion Date",,Misc,Date,Treatment completed on,,,,,,,,,,,,
,"Tuberculosis, Treatment Duration",,Misc,Text,Treatment Duration,,,,,,,,,,,,
,"Tuberculosis, Long-term Treatment Outcome",,Misc,Text,Long-term treatment outcome,,,,,,,,,,,,
,"Tuberculosis, Reason of default",,Misc,Text,Reason for default,,,,,,,,,,,,
,"Tuberculosis, Reason of death",,Misc,Text,Reason for death,,,,,,,,,,,,
,"Tuberculosis, Work Efficiency",,Misc,Text,Work efficiency,,,,,,,,,,,,
,"Tuberculosis, Family member affected by tuberculosis",,Misc,Boolean,Family member affected by tuberculosis,,,,,,,,,,,,
,"Tuberculosis, Family member died of tuberculosis",,Misc,Boolean,Family member died of tuberculosis,,,,,,,,,,,,
,"Tuberculosis, HIV Positive",,Misc,Boolean,HIV Positive,,,,,,,,,,,,
,"Tuberculosis, Is patient on ART",,Misc,Boolean,Is patient on ART,,,,,,,,,,,,
,"Tuberculosis, Is patient on CPT",,Misc,Boolean,Is patient on CPT,,,,,,,,,,,,
,"Tuberculosis, Referred by",,Misc,Coded,Referred by,,,,,Community,Private Health Facility,Contact Tracing,,,,,
,"Tuberculosis, Treatment Type",,Misc,Coded,Treatment type,,,,,Category I,Category II,Category III,,,,,
,"Tuberculosis, Remarks",,Misc,Text,Remarks,,,,,,,,,,,,
,"Tuberculosis, Drug Resistance",,Misc,Boolean,Resistance to drugs,,,,,,,,,,,,
,"MDRTuberculosis, Type",,Misc,Coded,Type,,,,,Pulmonary,Extrapulmonary,Not Applicable,,,,,
,"MDRTuberculosis, Category of Diagnosis",,Misc,Coded,Category of diagnosis,,,,,New Diagnosis,Treatment After Default,Treatment After Relapse,Treatment After Failure Category I,Treatment After Failure Category II,Transfer In,Still Under Treatment,
,"MDRTuberculosis, Other Details of Category of Diagnosis",,Misc,Text,Other Details of Diagnosis Category,,,,,,,,,,,,
,"MDRTuberculosis, HIV Positive",,Misc,Boolean,HIV Positive,,,,,,,,,,,,
,"MDRTuberculosis, Is patient on ART",,Misc,Boolean,Is patient on ART,,,,,,,,,,,,
,"MDRTuberculosis, Is patient on CPT",,Misc,Boolean,Is patient on CPT,,,,,,,,,,,,
,"MDRTuberculosis, Second line drugs received previously",,Misc,Boolean,Second line drugs received previously,,,,,,,,,,,,
,"MDRTuberculosis, Date of Sample taken for DST",,Misc,Date,Date of sample taken for DST,,,,,,,,,,,,
,"MDRTuberculosis, Other Reasons for enter in second-line TB treatment register",,Misc,Text,,,,,,,,,,,,,
,"MDRTuberculosis, Regimen",,Misc,Text,Regimen,,,,,,,,,,,,
,"MDRTuberculosis, Regimen start date",,Misc,Date,Regimen Start Date,,,,,,,,,,,,
,"MDRTuberculosis, Treatment outcome",,Misc,Coded,Treatment Outcome,,,,,Cured by Treatment,Treatment Complete,Treatment Default,Treatment Failure,Death During Treatment,On Treatment,,
,"MDRTuberculosis, Remarks",,Misc,Text,Remarks,,,,,,,,,,,,
