uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,units,High Normal,Low Normal,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,Systolic,,Misc,Numeric,,,,,mmHg,140,120,,,,,,,,,,,,,,,,
,Systolic Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,Diastolic,,Misc,Numeric,,,,,mmHg,90,80,,,,,,,,,,,,,,,,
,Diastolic Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,Posture,,Misc,Coded,,,,,,,,Sitting,Supine,,,,,,,,,,,,,,
,Temperature,,Misc,Numeric,,,,,F,100,98,,,,,,,,,,,,,,,,
,Temperature Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,Heart Rate,,Misc,Numeric,,,,,per min,100,60,,,,,,,,,,,,,,,,
,Heart Rate Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,Respiratory Rate,,Misc,Numeric,,,,,per min,20,12,,,,,,,,,,,,,,,,
,Respiratory Rate Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,Oxygen Saturation ,,Misc,Numeric,,,,,%,100,95,,,,,,,,,,,,,,,,
,Oxygen Saturation Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,Weight,,Misc,Numeric,,,,,kg,,,,,,,,,,,,,,,,,,
